Transaction_ID,Date,Customer_ID,Gender,Age,Product_Category,Quantity,Price_per_Unit,Total_Amount
15c66311-53c9-49d6-8212-644b44412200,2023-11-24,ddcd1508-fbee-4005-9522-d50d7417a98d,Male,34,Beauty,3,50,150
764701fc-5fbd-4ded-8fa7-34ea5586f9c3,2023-02-27,e3208850-0644-4151-bd5f-5064e1c6ceee,Female,26,Clothing,2,500,1000
d44a489a-de49-406d-9313-e625bfc1c1ea,2023-01-13,5850f94c-4fe3-4c09-a625-650ac7872369,Male,50,Electronics,1,30,30
48da6498-814d-4041-8469-2733a12b66e9,2023-05-21,f4c6fa54-09d2-4ec6-9013-216181a8ce9e,Male,37,Clothing,1,500,500
aaf94a01-c10e-43a8-91d2-e0ef1eca66a2,2023-05-06,f3b055ae-f057-401c-b928-826a81b2c83e,Male,30,Beauty,2,50,100
b2c25f0a-9a33-404d-84ea-1cbd39ab8a36,2023-04-25,454ddd0e-506b-4d17-a867-6a498dd44d72,Female,45,Beauty,1,30,30
09dc7227-0762-4e65-824a-358782eb76b1,2023-03-13,d61fabcc-ab32-4ad5-8e0f-41521fa5e326,Male,46,Clothing,2,25,50
cb628ac4-d091-4902-8ee2-56e524aed462,2023-02-22,b2c57849-912b-4237-9862-2c65f4eeee7f,Male,30,Electronics,4,25,100
113b6b28-67dd-461b-813c-365d9c857670,2023-12-13,fdd9a6f5-b450-4ae0-9779-fef5a6ec613b,Male,63,Electronics,2,300,600
a464efa0-c276-4044-ad68-cd0bcb7e03f8,2023-10-07,6e210565-5efd-4b21-b65c-7f2574055a30,Female,52,Clothing,4,50,200
ff0566ba-ca0d-4b93-96d5-2b7772634e44,2023-02-14,768f82ef-6983-4af6-8927-f56d882d42f2,Male,23,Clothing,2,50,100
fc51a718-65a8-46f0-b35d-f22dc11607fc,2023-10-30,77d56cf8-3edc-41e7-a80e-d864b93be863,Male,35,Beauty,3,25,75
e5d6e939-2973-4d9c-8970-aaadb2e68ab8,2023-08-05,c6519d15-dd70-44b0-b941-4c973b602cce,Male,22,Electronics,3,500,1500
aef68275-dfca-4523-93be-04a834a8537a,2023-01-17,7db13c5a-5789-4b0b-9709-199016c4ad6e,Male,64,Clothing,4,30,120
2f9f6d66-dd89-4d32-9619-a9d23e65b9cc,2023-01-16,29220092-8b34-4bed-83b2-58a8a4443415,Female,42,Electronics,4,500,2000
75e3320f-afd8-4718-b8f2-9382af7d4e79,2023-02-17,3d2441b0-4945-4964-84b9-18b55e24277a,Male,19,Clothing,3,500,1500
e6ddedfe-bc5a-4ae9-9f57-d4dd32e9e8f6,2023-04-22,95d94ab7-25ea-4660-9133-ea447d825100,Female,27,Clothing,4,25,100
c71ae777-bb7f-4e05-9524-10058a0a7cac,2023-04-30,5a7496ec-48be-4677-8b04-3e58c882c77f,Female,47,Electronics,2,25,50
18623caf-28a6-4efb-b475-51786d39b9eb,2023-09-16,9b9bbe93-a173-4592-bec7-62855246cac1,Female,62,Clothing,2,25,50
d9e0731d-f14b-4513-a4f4-239ab9e68b9d,2023-11-05,dffa93b8-f535-48ed-b432-51e667d82d84,Male,22,Clothing,3,300,900
